English,Croatian
feed,hraniti
principle,načelo
bowl,zdjela
claim,zahtjev
technique,tehnika
limit,ograničiti
identity,identitet
title,titula
critic,kritičar
survive,preživjeti
cry,plakati
border,granica
lift,lift
path,staza
aspect,aspekt
marry,vjenčati se
shop,dućan
failure,neuspjeh
ride,vožnja
responsible,odgovoran
gather,okupljati
jump,skok
sample,uzorak
affair,afera
result,proizlaziti
worth,vrijedan
fit,prikladan
chairman,predsjednik
until,do
lesson,lekcija
Christmas,Božić
insist,inzistirati
anybody,itko
folk,narod
band,bend
ear,uho
procedure,postupak
associate,suradnik
inch,centimetar
warm,zagrijati
African,afrički
French,francuski
baseball,bejzbol
demonstrate,pokazati
foot,noga
Christian,Kršćanski
approach,pristup
competition,konkurencija
measure,mjera
afraid,uplašen
spread,širenje
ignore,zanemariti
soft,mekan
annual,godišnji
wonderful,divan
threaten,ugroziti
commit,počiniti
deny,poreći
intelligence,inteligencija
regular,redovan
influence,utjecaj
general,Općenito
past,prošlost
reaction,reakcija
cross,križ
master,ovladati; majstorski
suit,odijelo
blow,udarac
destroy,uništiti
gift,dar
coffee,kava
anyway,u svakom slučaju
belief,vjerovanje
comment,komentar
apparently,očito
twice,dvaput
background,pozadina
quarter,četvrtina
review,pregled
faith,vjera
move,potez
speed,ubrzati
engage,angažirati
broad,širok
perspective,perspektiva
slightly,malo
growing,rastući
view,pogled
function,funkcija
construction,građevinarstvo
egg,jaje
charge,naplatiti
wave,val
female,žena
murder,ubiti
tape,traka
burn,izgorjeti
means,sredstva
aware,svjestan
mistake,pogreška
quiet,miran
connection,spoj
shoe,cipela
clothes,odjeća
promise,obećanje
religion,religija
complete,cjelovit
united,ujedinjen
context,kontekst
active,aktivan
focus,usredotočenost
youth,mladost
location,mjesto
neighbor,susjed
dress,haljina
Internet,Internet
category,kategorija
dangerous,opasan
extend,proširiti se
combine,kombinirati
demand,zahtijevajte
coast,obala
relatively,relativno
smile,osmijeh
bus,autobus
hey,Hej
chief,glavni
following,slijedeći
depend,ovisiti
key,ključ
hell,pakao
visit,posjetiti
bone,kost
cook,kuhati
fire,vatra
direct,direktno
native,rodni
cool,ohladiti
cut,izrezati
remind,podsjetiti
historical,povijesni
moral,moral
voter,birač
appropriate,prikladan
famous,poznat
hire,najam
victory,pobjeda
contact,kontakt
fully,potpuno
negative,negativan
medicine,lijek
participate,sudjelovati
grade,razred
eastern,istočni
supply,Opskrba
yesterday,jučer
familiar,poznat
democracy,demokracija
pair,par
drive,voziti
healthy,zdrav
front,ispred
tie,kravata
birth,rođenje
progress,napredak
damage,šteta
exchange,razmjena
bottom,dno
daily,dnevno
next,Sljedeći
document,dokument
grand,veličanstven
journal,časopis
knee,koljeno
primary,osnovan
otherwise,inače
train,vlak
grab,zgrabiti
circle,krug
lean,nagib
wine,vino
minority,manjina
flower,cvijet
device,uređaj
Iraqi,irački
plate,tanjur
attack,napad
clean,čist
alive,živ
actor,glumac
hate,mrziti
expression,izraz
below,ispod
bright,svijetao
press,preša
tour,obilazak
finding,nalaz
exercise,vježbanje
plastic,plastika
danger,opasnost
neck,vrat
valley,dolina
academic,akademski
start,početak
application,prijava
intend,namjeravati
male,muški
tall,visok
shut,zatvoriti
lots,puno
Indian,Indijanac
respect,poštovanje
colleague,Suradnik
writing,pisanje
rain,kiša
fast,brzo
football,nogomet
welcome,Dobrodošli
domestic,domaći
pool,bazen
literature,književnost
extra,ekstra
northern,sjeverni
desire,želja
direct,direktno
fight,borba
corporate,korporativan
session,sjednica
supreme,vrhovni
studio,studio
Russian,ruski
nod,kimnuti
learning,učenje
climb,penjati se
importance,važnost
somewhere,negdje
expand,proširiti
fourth,Četvrta
dry,suho
disappear,nestati
abuse,zlostavljanje
chicken,piletina
obtain,dobiti
map,karta
carefully,pažljivo
close,Zatvoriti
increasingly,sve više
greatest,najveći
complex,kompleks
metal,metal
lead,voditi
above,iznad
jury,porota
sweet,sladak
proposal,prijedlog
impossible,nemoguće
scientific,znanstveni
ticket,ulaznica
leaf,list
classroom,učionica
surround,okružiti
lunch,ručak
alone,sama
meaning,značenje
injury,ozljeda
invite,pozvati
enemy,neprijatelj
repeat,ponoviti
bear,snositi
lip,usna
mayor,gradonačelnik
award,dodijeliti
attempt,pokušaj
commitment,predanost
consequence,posljedica
instruction,uputa
surprise,iznenađenje
poll,anketa
favorite,omiljen
explore,istražiti
predict,predvidjeti
adopt,posvojiti
sight,vid
storm,oluja
half,pola
assessment,procjena
weather,vrijeme
pocket,džep
aid,pomoć
reading,čitanje
thin,tanko
soul,duša
strange,čudan
married,oženjen
organize,organizirati
conclusion,zaključak
fuel,gorivo
urban,gradski
belong,pripadati
salt,sol
farmer,seljak
straight,ravno
advice,savjet
cover,pokriti
balance,uravnotežiti
temperature,temperatura
empty,prazan
conclude,zaključiti
somehow,nekako
presidential,predsjednički
limit,ograničiti
prime,premijer
breast,grudi
desk,stol
record,snimiti
breath,dah
theater,kazalište
under,"pod, ispod"
acknowledge,priznati
theme,tema
fat,mast
software,softver
sugar,šećer
educational,obrazovni
thousand,tisuću
code,kodirati
fear,strah
connect,Spojiti
yellow,žuta boja
instrument,instrument
Japanese,japanski
panel,ploča
library,knjižnica
expensive,skup
emotional,emotivan
engine,motor
propose,predložiti
mental,mentalni
difficulty,poteškoća
train,vlak
brown,smeđi
basically,u osnovi
last,posljednji
average,prosječan
ring,prsten
mark,ocjena
locate,pronaći
search,traži
largely,uglavnom
possibly,možda
anymore,više
generate,generirati
regional,Regionalni
obvious,očigledan
angry,ljut
analyst,analitičar
accident,nesreća
trend,trend
like,Kao
appearance,izgled
currently,trenutno
shadow,sjena
being,biće
moon,mjesec
bridge,most
but,ali
recommend,Preporuči
hearing,saslušanje
fruit,voće
dance,ples
shift,smjena
comfortable,udobno
struggle,borba
revenue,prihod
notion,pojam
okay,u redu
package,paket
ought,trebalo bi
traffic,promet
internal,unutarnji
prefer,preferirati
crew,posada
search,traži
profit,dobit
regulation,propis
link,veza
thinking,razmišljanje
hardly,jedva
airport,zračna luka
human,ljudski
extremely,krajnje
sick,bolestan
capture,uhvatiti
unique,jedinstven
actual,stvarni
chest,prsnog koša
meal,obrok
beauty,ljepota
extent,opseg
defend,braniti
visitor,posjetitelj
outside,vanjski
judge,suditi
dozen,desetak
declare,proglasiti
emergency,hitan slučaj
ad,oglas
truly,uistinu
planet,planeta
select,Odaberi
ethnic,etnički
nose,nos
loan,zajam
cash,unovčiti
contribution,doprinos
slow,usporiti
contrast,kontrast
bottle,boca
launch,pokrenuti
novel,roman
feature,značajka
duty,dužnost
root,korijen
content,sadržaj
component,komponenta
appreciate,cijeniti
circumstance,okolnost
teaching,nastava
paint,boja
matter,materija
thick,debeo
cat,mačka
neither,ni
standard,standard
ourselves,sebe
correct,ispravan
warn,upozoriti
capacity,kapacitet
challenge,izazov
convention,konvencija
politician,političar
pursue,progoniti
setting,postavljanje
zone,zona
dress,haljina
pilot,pilot
ensure,osigurati
ultimately,konačno
male,muški
wake,probuditi
shirt,košulja
influence,utjecaj
guide,vodič
AIDS,Pomagalo
mix,miješati
slip,skliznuti
steal,ukrasti
late,kasno
frequently,često
blame,kriviti
sheet,list
estimate,procjena
relief,olakšanje
combination,kombinacija
investor,investitor
due,dužan
silence,tišina
manner,način
muscle,mišić
branch,podružnica
chain,lanac
long,dugačak
telephone,telefon
investigate,istraga
German,njemački
percentage,postotak
outcome,ishod
estate,imanje
forth,dalje
stress,stres
equal,jednak
English,Engleski
welfare,dobrobit
typical,tipičan
crazy,lud
except,osim
funny,smiješan
meat,meso
appeal,apel
long-term,dugoročno
official,službeno
eliminate,eliminirati
used,upotrijebljen
motion,pokret
complain,žaliti se
row,red
Jewish,Židovski
kick,udar
snow,snijeg
producer,proizvođač
solve,riješiti
just,samo
issue,problem
opposition,protivljenje
basketball,košarka
rely,osloniti
conservative,konzervativan
trust,povjerenje
back,leđa
address,adresa
mirror,ogledalo
tank,tenk
range,raspon
significantly,značajno
somewhat,nešto
attract,privući
anywhere,bilo gdje
regime,režim
fix,popraviti
entirely,potpuno
afford,priuštiti
length,dužina
secret,tajna
pleasure,zadovoljstvo
file,datoteka
tooth,zub
confirm,potvrditi
separate,razdvojiti
golden,zlatan
photograph,fotografirati
meanwhile,u međuvremenu
except,osim
now,sada
channel,kanal
bedroom,spavaća soba
requirement,zahtjev
ancient,antički
coverage,pokrivenost
trail,trag
bear,snositi
host,domaćin
his,njegov
check,ček
stand,stajati
surgery,kirurgija
perception,percepcija
rare,rijedak
struggle,borba
era,doba
grant,odobriti
file,datoteka
ocean,ocean
seriously,ozbiljno
clear,čisto
confidence,samouvjerenost
aside,na stranu
tear,suza
judgment,osuda
industrial,industrijski
expectation,očekivanje
resolution,razlučivost
copy,kopirati
wing,krilo
doubt,sumnjati
fun,zabava
totally,potpuno
pour,sipati
gender,spol
surprised,iznenađen
beer,pivo
clean,čist
score,postići
bond,veza
plus,plus
debt,dug
smart,pametan
English,Engleski
terrible,strašan
witness,svjedok
reference,referenca
account,račun
separate,razdvojiti
mean,zao
vice,potpredsjednik
black,crno
rest,odmor
hero,junak
bomb,bomba
below,ispod
